seno,quad,sinc
128,128,0
129,128,0
131,128,0
132,128,0
134,128,0
136,128,0
137,128,0
139,128,0
140,128,0
142,128,0
143,128,0
145,128,0
147,128,0
148,128,0
150,128,0
151,128,0
153,128,0
155,128,0
156,128,0
158,128,0
159,128,0
161,128,0
162,128,0
164,128,0
165,128,0
167,128,0
168,128,0
170,128,0
171,128,0
173,128,0
174,128,0
176,128,0
177,128,0
179,128,0
180,128,0
182,128,0
183,128,0
185,128,0
186,128,0
188,128,0
189,128,0
190,128,0
192,128,0
193,128,1
194,128,1
196,128,1
197,128,1
199,128,1
200,128,1
201,128,1
202,128,1
204,128,1
205,128,1
206,128,1
208,128,1
209,128,1
210,128,1
211,128,2
212,128,2
214,128,2
215,128,2
216,128,2
217,128,2
218,128,2
219,128,2
220,128,2
222,128,2
223,128,3
224,128,3
225,128,3
226,128,3
227,128,3
228,128,3
229,128,3
230,128,4
231,128,4
232,128,4
233,128,4
233,128,4
234,128,4
235,128,5
236,128,5
237,128,5
238,128,5
238,128,5
239,128,5
240,128,6
241,128,6
241,128,6
242,128,6
243,128,6
244,128,7
244,128,7
245,128,7
245,128,7
246,128,8
247,128,8
247,128,8
248,128,8
248,128,9
249,128,9
249,128,9
250,128,9
250,128,10
251,128,10
251,128,10
251,128,10
252,128,11
252,128,11
252,128,11
253,128,11
253,128,12
253,128,12
254,128,12
254,128,13
254,128,13
254,128,13
254,128,14
255,128,14
255,128,14
255,128,15
255,128,15
255,128,15
255,128,16
255,128,16
255,255,16
255,255,17
255,255,17
255,255,17
255,255,18
255,255,18
255,255,19
255,255,19
254,255,19
254,255,20
254,255,20
254,255,21
254,255,21
253,255,21
253,255,22
253,255,22
252,255,23
252,255,23
252,255,23
251,255,24
251,255,24
251,255,25
250,255,25
250,255,26
249,255,26
249,255,27
248,255,27
248,255,28
247,255,28
247,255,29
246,255,29
245,255,29
245,255,30
244,255,30
244,255,31
243,255,31
242,255,32
241,255,33
241,255,33
240,255,34
239,255,34
238,255,35
238,255,35
237,255,36
236,255,36
235,255,37
234,255,37
233,255,38
233,255,39
232,255,39
231,255,40
230,255,40
229,255,41
228,255,41
227,255,42
226,255,43
225,255,43
224,255,44
223,255,44
222,255,45
220,255,46
219,255,46
218,255,47
217,255,48
216,255,48
215,255,49
214,255,49
212,255,50
211,255,51
210,255,51
209,255,52
208,255,53
206,255,53
205,255,54
204,255,55
202,255,55
201,255,56
200,255,57
199,255,57
197,255,58
196,255,59
194,255,60
193,255,60
192,255,61
190,255,62
189,255,62
188,255,63
186,255,64
185,255,65
183,255,65
182,255,66
180,255,67
179,255,67
177,255,68
176,255,69
174,255,70
173,255,70
171,255,71
170,255,72
168,255,73
167,255,74
165,255,74
164,255,75
162,255,76
161,255,77
159,255,77
158,255,78
156,255,79
155,255,80
153,255,81
151,255,81
150,255,82
148,255,83
147,255,84
145,255,85
143,255,85
142,255,86
140,255,87
139,255,88
137,255,89
136,255,90
134,255,90
132,255,91
131,255,92
129,255,93
128,128,94
126,128,95
124,128,95
123,128,96
121,128,97
119,128,98
118,128,99
116,128,100
115,128,101
113,128,101
112,128,102
110,128,103
108,128,104
107,128,105
105,128,106
104,128,107
102,128,107
100,128,108
99,128,109
97,128,110
96,128,111
94,128,112
93,128,113
91,128,114
90,128,115
88,128,115
87,128,116
85,128,117
84,128,118
82,128,119
81,128,120
79,128,121
78,128,122
76,128,123
75,128,123
73,128,124
72,128,125
70,128,126
69,128,127
67,128,128
66,128,129
65,128,130
63,128,131
62,128,132
61,128,132
59,128,133
58,128,134
56,128,135
55,128,136
54,128,137
53,128,138
51,128,139
50,128,140
49,128,141
47,128,142
46,128,142
45,128,143
44,128,144
43,128,145
41,128,146
40,128,147
39,128,148
38,128,149
37,128,150
36,128,151
35,128,151
33,128,152
32,128,153
31,128,154
30,128,155
29,128,156
28,128,157
27,128,158
26,128,159
25,128,160
24,128,160
23,128,161
22,128,162
22,128,163
21,128,164
20,128,165
19,128,166
18,128,167
17,128,168
17,128,168
16,128,169
15,128,170
14,128,171
14,128,172
13,128,173
12,128,174
11,128,175
11,128,175
10,128,176
10,128,177
9,128,178
8,128,179
8,128,180
7,128,181
7,128,181
6,128,182
6,128,183
5,128,184
5,128,185
4,128,186
4,128,186
4,128,187
3,128,188
3,128,189
3,128,190
2,128,191
2,128,191
2,128,192
1,128,193
1,128,194
1,128,195
1,128,195
1,128,196
0,128,197
0,128,198
0,128,199
0,128,199
0,128,200
0,128,201
0,128,202
0,0,202
0,0,203
0,0,204
0,0,205
0,0,205
0,0,206
0,0,207
0,0,208
1,0,208
1,0,209
1,0,210
1,0,211
1,0,211
2,0,212
2,0,213
2,0,213
3,0,214
3,0,215
3,0,216
4,0,216
4,0,217
4,0,218
5,0,218
5,0,219
6,0,220
6,0,220
7,0,221
7,0,222
8,0,222
8,0,223
9,0,223
10,0,224
10,0,225
11,0,225
11,0,226
12,0,227
13,0,227
14,0,228
14,0,228
15,0,229
16,0,229
17,0,230
17,0,231
18,0,231
19,0,232
20,0,232
21,0,233
22,0,233
22,0,234
23,0,234
24,0,235
25,0,235
26,0,236
27,0,236
28,0,237
29,0,237
30,0,238
31,0,238
32,0,239
33,0,239
35,0,240
36,0,240
37,0,241
38,0,241
39,0,242
40,0,242
41,0,242
43,0,243
44,0,243
45,0,244
46,0,244
47,0,244
49,0,245
50,0,245
51,0,246
53,0,246
54,0,246
55,0,247
56,0,247
58,0,247
59,0,248
61,0,248
62,0,248
63,0,249
65,0,249
66,0,249
67,0,249
69,0,250
70,0,250
72,0,250
73,0,251
75,0,251
76,0,251
78,0,251
79,0,251
81,0,252
82,0,252
84,0,252
85,0,252
87,0,253
88,0,253
90,0,253
91,0,253
93,0,253
94,0,253
96,0,254
97,0,254
99,0,254
100,0,254
102,0,254
104,0,254
105,0,254
107,0,254
108,0,254
110,0,255
112,0,255
113,0,255
115,0,255
116,0,255
118,0,255
119,0,255
121,0,255
123,0,255
124,0,255
126,0,255
127,128,255
129,128,255
131,128,255
132,128,255
134,128,255
136,128,255
137,128,255
139,128,255
140,128,255
142,128,255
143,128,255
145,128,255
147,128,254
148,128,254
150,128,254
151,128,254
153,128,254
155,128,254
156,128,254
158,128,254
159,128,254
161,128,253
162,128,253
164,128,253
165,128,253
167,128,253
168,128,253
170,128,252
171,128,252
173,128,252
174,128,252
176,128,251
177,128,251
179,128,251
180,128,251
182,128,251
183,128,250
185,128,250
186,128,250
188,128,249
189,128,249
190,128,249
192,128,249
193,128,248
194,128,248
196,128,248
197,128,247
199,128,247
200,128,247
201,128,246
202,128,246
204,128,246
205,128,245
206,128,245
208,128,244
209,128,244
210,128,244
211,128,243
212,128,243
214,128,242
215,128,242
216,128,242
217,128,241
218,128,241
219,128,240
220,128,240
222,128,239
223,128,239
224,128,238
225,128,238
226,128,237
227,128,237
228,128,236
229,128,236
230,128,235
231,128,235
232,128,234
233,128,234
233,128,233
234,128,233
235,128,232
236,128,232
237,128,231
238,128,231
238,128,230
239,128,229
240,128,229
241,128,228
241,128,228
242,128,227
243,128,227
244,128,226
244,128,225
245,128,225
245,128,224
246,128,223
247,128,223
247,128,222
248,128,222
248,128,221
249,128,220
249,128,220
250,128,219
250,128,218
251,128,218
251,128,217
251,128,216
252,128,216
252,128,215
252,128,214
253,128,213
253,128,213
253,128,212
254,128,211
254,128,211
254,128,210
254,128,209
254,128,208
255,128,208
255,128,207
255,128,206
255,128,205
255,128,205
255,128,204
255,128,203
255,255,202
255,255,202
255,255,201
255,255,200
255,255,199
255,255,199
255,255,198
255,255,197
254,255,196
254,255,195
254,255,195
254,255,194
254,255,193
253,255,192
253,255,191
253,255,191
252,255,190
252,255,189
252,255,188
251,255,187
251,255,186
251,255,186
250,255,185
250,255,184
249,255,183
249,255,182
248,255,181
248,255,181
247,255,180
247,255,179
246,255,178
245,255,177
245,255,176
244,255,175
244,255,175
243,255,174
242,255,173
241,255,172
241,255,171
240,255,170
239,255,169
238,255,168
238,255,168
237,255,167
236,255,166
235,255,165
234,255,164
233,255,163
233,255,162
232,255,161
231,255,160
230,255,160
229,255,159
228,255,158
227,255,157
226,255,156
225,255,155
224,255,154
223,255,153
222,255,152
220,255,151
219,255,151
218,255,150
217,255,149
216,255,148
215,255,147
214,255,146
212,255,145
211,255,144
210,255,143
209,255,142
208,255,142
206,255,141
205,255,140
204,255,139
202,255,138
201,255,137
200,255,136
199,255,135
197,255,134
196,255,133
194,255,132
193,255,132
192,255,131
190,255,130
189,255,129
188,255,128
186,255,127
185,255,126
183,255,125
182,255,124
180,255,123
179,255,123
177,255,122
176,255,121
174,255,120
173,255,119
171,255,118
170,255,117
168,255,116
167,255,115
165,255,115
164,255,114
162,255,113
161,255,112
159,255,111
158,255,110
156,255,109
155,255,108
153,255,107
151,255,107
150,255,106
148,255,105
147,255,104
145,255,103
143,255,102
142,255,101
140,255,101
139,255,100
137,255,99
136,255,98
134,255,97
132,255,96
131,255,95
129,255,95
128,128,94
126,128,93
124,128,92
123,128,91
121,128,90
119,128,90
118,128,89
116,128,88
115,128,87
113,128,86
112,128,85
110,128,85
108,128,84
107,128,83
105,128,82
104,128,81
102,128,81
100,128,80
99,128,79
97,128,78
96,128,77
94,128,77
93,128,76
91,128,75
90,128,74
88,128,74
87,128,73
85,128,72
84,128,71
82,128,70
81,128,70
79,128,69
78,128,68
76,128,67
75,128,67
73,128,66
72,128,65
70,128,65
69,128,64
67,128,63
66,128,62
65,128,62
63,128,61
62,128,60
61,128,60
59,128,59
58,128,58
56,128,57
55,128,57
54,128,56
53,128,55
51,128,55
50,128,54
49,128,53
47,128,53
46,128,52
45,128,51
44,128,51
43,128,50
41,128,49
40,128,49
39,128,48
38,128,48
37,128,47
36,128,46
35,128,46
33,128,45
32,128,44
31,128,44
30,128,43
29,128,43
28,128,42
27,128,41
26,128,41
25,128,40
24,128,40
23,128,39
22,128,39
22,128,38
21,128,37
20,128,37
19,128,36
18,128,36
17,128,35
17,128,35
16,128,34
15,128,34
14,128,33
14,128,33
13,128,32
12,128,31
11,128,31
11,128,30
10,128,30
10,128,29
9,128,29
8,128,29
8,128,28
7,128,28
7,128,27
6,128,27
6,128,26
5,128,26
5,128,25
4,128,25
4,128,24
4,128,24
3,128,23
3,128,23
3,128,23
2,128,22
2,128,22
2,128,21
1,128,21
1,128,21
1,128,20
1,128,20
1,128,19
0,128,19
0,128,19
0,128,18
0,128,18
0,128,17
0,128,17
0,128,17
0,0,16
0,0,16
0,0,16
0,0,15
0,0,15
0,0,15
0,0,14
0,0,14
1,0,14
1,0,13
1,0,13
1,0,13
1,0,12
2,0,12
2,0,12
2,0,11
3,0,11
3,0,11
3,0,11
4,0,10
4,0,10
4,0,10
5,0,10
5,0,9
6,0,9
6,0,9
7,0,9
7,0,8
8,0,8
8,0,8
9,0,8
10,0,7
10,0,7
11,0,7
11,0,7
12,0,6
13,0,6
14,0,6
14,0,6
15,0,6
16,0,5
17,0,5
17,0,5
18,0,5
19,0,5
20,0,5
21,0,4
22,0,4
22,0,4
23,0,4
24,0,4
25,0,4
26,0,3
27,0,3
28,0,3
29,0,3
30,0,3
31,0,3
32,0,3
33,0,2
35,0,2
36,0,2
37,0,2
38,0,2
39,0,2
40,0,2
41,0,2
43,0,2
44,0,2
45,0,1
46,0,1
47,0,1
49,0,1
50,0,1
51,0,1
53,0,1
54,0,1
55,0,1
56,0,1
58,0,1
59,0,1
61,0,1
62,0,1
63,0,0
65,0,0
66,0,0
67,0,0
69,0,0
70,0,0
72,0,0
73,0,0
75,0,0
76,0,0
78,0,0
79,0,0
81,0,0
82,0,0
84,0,0
85,0,0
87,0,0
88,0,0
90,0,0
91,0,0
93,0,0
94,0,0
96,0,0
97,0,0
99,0,0
100,0,0
102,0,0
104,0,0
105,0,0
107,0,0
108,0,0
110,0,0
112,0,0
113,0,0
115,0,0
116,0,0
118,0,0
119,0,0
121,0,0
123,0,0
124,0,0
126,0,0
